disease_name,symptoms,source,symptoms,processed_symptoms,named_entities
a-fib (atrial fibrillation),"A heartbeat that races, pounds, or flutters Weakness, severe tiredness, or confusion Feeling lightheaded, sweaty, dizzy, or faint Shortness of breath or anxiety Chest pain or pressure",drugs-com,"a heartbeat that races, pounds, or flutters weakness, severe tiredness, or confusion feeling lightheaded, sweaty, dizzy, or faint shortness of breath or anxiety chest pain or pressure",heartbeat race pound flutter weakness severe tiredness confusion feeling lightheaded sweaty dizzy faint shortness breath anxiety chest pain pressure,"['heartbeat', 'races', 'pounds', 'flutters weakness', 'severe', 'tiredness', 'confusion', 'lightheaded', 'sweaty', 'dizzy', 'faint shortness of breath', 'anxiety chest pain', 'pressure']"
abnormal (dysfunctional) uterine bleeding,"Bleeding or spotting between periods Bleeding that starts 12 months or longer after you have been through menopause The amount of bleeding during your period is heavier or lighter than usual The number of days that you bleed during your regular period is longer than usual, or more than 7 days The number of days that you bleed is shorter than usual, or less than 2 days The time between your monthly periods is shorter or longer than usual",drugs-com,"bleeding or spotting between periods bleeding that starts 12 months or longer after you have been through menopause the amount of bleeding during your period is heavier or lighter than usual the number of days that you bleed during your regular period is longer than usual, or more than 7 days the number of days that you bleed is shorter than usual, or less than 2 days the time between your monthly periods is shorter or longer than usual",bleed spot period bleed start 12 month long menopause bleeding period heavy light usual number day bleed regular period long usual 7 day number day bleed short usual 2 day time monthly period short long usual,"['bleeding', 'periods bleeding', 'months', 'longer', 'menopause', 'amount', 'bleeding', 'period', 'heavier', 'days', 'bleed', 'regular', 'period', 'usual', 'days', 'days', 'bleed', 'days', 'monthly', 'periods', 'shorter']"
abscess,You may have a swollen mass that is red and painful. Pus may leak out of the mass. The pus will be white or yellow and may smell bad. You may have redness and pain days before the mass appears. You may have a fever and chills if the infection spreads.,drugs-com,you may have a swollen mass that is red and painful. pus may leak out of the mass. the pus will be white or yellow and may smell bad. you may have redness and pain days before the mass appears. you may have a fever and chills if the infection spreads.,swollen mass red painful pus leak mass pus white yellow smell bad redness pain day mass appear fever chill infection spread,"['swollen mass', 'red', 'painful', 'pus', 'leak', 'mass', 'pus', 'white', 'yellow', 'smell', 'redness', 'pain days', 'mass', 'fever', 'chills', 'infection spreads']"
abscess in children,Your child may have a swollen mass that is red and painful. Pus may leak out of the mass. The pus will be white or yellow and may smell bad. Your child may have redness and pain days before the mass appears. Your child may have a fever and chills if the infection spreads.,drugs-com,your child may have a swollen mass that is red and painful. pus may leak out of the mass. the pus will be white or yellow and may smell bad. your child may have redness and pain days before the mass appears. your child may have a fever and chills if the infection spreads.,child swollen mass red painful pus leak mass pus white yellow smell bad child redness pain day mass appear child fever chill infection spread,"['child', 'swollen mass', 'red', 'painful', 'pus', 'leak', 'mass', 'pus', 'white', 'yellow', 'smell', 'child', 'redness', 'pain days', 'mass', 'child', 'fever', 'chills', 'infection spreads']"
abuse of alcohol,"Loss of interest in activities, work, and school Hiding alcohol, or drinking in private Depression, or guilt about drinking Constant thoughts about alcohol Drinking in the morning to relieve the effects of a hangover Not being able to control the amount you drink Restlessness, or erratic and violent behavior",drugs-com,"loss of interest in activities, work, and school hiding alcohol, or drinking in private depression, or guilt about drinking constant thoughts about alcohol drinking in the morning to relieve the effects of a hangover not being able to control the amount you drink restlessness, or erratic and violent behavior",loss interest activity work school hiding alcohol drink private depression guilt drink constant thought alcohol drinking morning relieve effect hangover able control drink restlessness erratic violent behavior,"['activities', 'work', 'school hiding', 'drinking', 'private depression', 'guilt', 'drinking constant', 'thoughts', 'alcohol drinking', 'morning', 'effects', 'hangover', 'amount', 'drink restlessness', 'erratic', 'violent behavior']"
acetaminophen overdose,"You might not have any signs or symptoms at first. Early signs and symptoms may make you feel like you have the flu. Common signs and symptoms happen during each stage of an acetaminophen overdose. If the overdose is treated right away, you might have fewer or easier symptoms in the later stages. First 24 hours:
Nausea, vomiting, stomach pain, and loss of appetite
Paleness
Tiredness
Sweating Nausea, vomiting, stomach pain, and loss of appetite Paleness Tiredness Sweating 24 to 72 hours after the overdose:
Pain in your upper right side
Dark urine
Urinating less often than usual
Skin and the whites of your eyes turn yellow Pain in your upper right side Dark urine Urinating less often than usual Skin and the whites of your eyes turn yellow 72 to 96 hours after the overdose:
Blood in your urine
Fever, lightheadedness, or fainting
Fast breathing or trouble breathing
Extreme weakness or tiredness
Feeling very hungry, or shaking
Blurred vision, a fast heartbeat, or headache that will not go away
Trouble staying awake
Confusion
Coma Blood in your urine Fever, lightheadedness, or fainting Fast breathing or trouble breathing Extreme weakness or tiredness Feeling very hungry, or shaking Blurred vision, a fast heartbeat, or headache that will not go away Trouble staying awake Confusion Coma",drugs-com,"you might not have any signs or symptoms at first. early signs and symptoms may make you feel like you have the flu. common signs and symptoms happen during each stage of an acetaminophen overdose. if the overdose is treated right away, you might have fewer or easier symptoms in the later stages. first 24 hours:
nausea, vomiting, stomach pain, and loss of appetite
paleness
tiredness
sweating nausea, vomiting, stomach pain, and loss of appetite paleness tiredness sweating 24 to 72 hours after the overdose:
pain in your upper right side
dark urine
urinating less often than usual
skin and the whites of your eyes turn yellow pain in your upper right side dark urine urinating less often than usual skin and the whites of your eyes turn yellow 72 to 96 hours after the overdose:
blood in your urine
fever, lightheadedness, or fainting
fast breathing or trouble breathing
extreme weakness or tiredness
feeling very hungry, or shaking
blurred vision, a fast heartbeat, or headache that will not go away
trouble staying awake
confusion
coma blood in your urine fever, lightheadedness, or fainting fast breathing or trouble breathing extreme weakness or tiredness feeling very hungry, or shaking blurred vision, a fast heartbeat, or headache that will not go away trouble staying awake confusion coma","sign symptom early sign symptom feel like flu common sign symptom happen stage acetaminophen overdose overdose treat right away few easy symptom later stage 24 hour 
 nausea vomiting stomach pain loss appetite 
 paleness 
 tiredness 
 sweating nausea vomiting stomach pain loss appetite paleness tiredness sweating 24 72 hour overdose 
 pain upper right 
 dark urine 
 urinate usual 
 skin white eye turn yellow pain upper right dark urine urinate usual skin white eye turn yellow 72 96 hour overdose 
 blood urine 
 fever lightheadedness fainting 
 fast breathing trouble breathing 
 extreme weakness tiredness 
 feel hungry shake 
 blurred vision fast heartbeat headache away 
 trouble stay awake 
 confusion 
 coma blood urine fever lightheadedness faint fast breathing trouble breathe extreme weakness tiredness feel hungry shake blurred vision fast heartbeat headache away trouble stay awake confusion coma","['signs', 'symptoms', 'symptoms', 'flu', 'signs', 'symptoms', 'happen', 'stage', 'acetaminophen overdose', 'overdose', 'treated right away', 'symptoms', 'stages', 'nausea', 'vomiting', 'stomach pain', 'loss of appetite', 'paleness', 'tiredness', 'sweating nausea', 'vomiting', 'stomach pain', 'loss of appetite paleness', 'tiredness sweating', 'hours', 'overdose', 'upper right', 'urine', 'urinating', 'skin', 'whites', 'eyes', 'yellow pain', 'upper right side dark', 'urine urinating', 'skin', 'whites', 'eyes', 'hours', 'overdose', 'blood', 'urine', 'fever', 'lightheadedness', 'fainting', 'fast breathing', 'breathing', 'weakness', 'tiredness', 'very hungry', 'shaking', 'blurred vision', 'fast heartbeat', 'headache', 'staying awake', 'confusion', 'coma blood', 'urine fever', 'lightheadedness', 'fainting', 'fast breathing', 'breathing extreme weakness', 'tiredness feeling', 'very hungry', 'shaking blurred vision', 'fast heartbeat', 'headache', 'staying awake', 'confusion', 'coma']"
achilles tendinitis,Pain in your heel that gets worse with activity Swelling in your heel or calf Stiffness in your heel or calf,drugs-com,pain in your heel that gets worse with activity swelling in your heel or calf stiffness in your heel or calf,pain heel get bad activity swelling heel calf stiffness heel calf,"['pain', 'heel', 'worse', 'activity swelling', 'heel', 'calf stiffness', 'heel', 'calf']"
achilles tendon rupture,"A sudden pop, snap, or crack at the back of your leg Severe pain in your leg or ankle, especially when your foot is bent down Swelling, stiffness, or weakness in your leg or ankle A bruise on the back of your ankle Trouble moving or putting weight on your leg",drugs-com,"a sudden pop, snap, or crack at the back of your leg severe pain in your leg or ankle, especially when your foot is bent down swelling, stiffness, or weakness in your leg or ankle a bruise on the back of your ankle trouble moving or putting weight on your leg",sudden pop snap crack leg severe pain leg ankle especially foot bent swelling stiffness weakness leg ankle bruise ankle trouble move put weight leg,"['sudden pop', 'snap', 'crack', 'leg severe', 'leg', 'ankle', 'foot', 'bent down swelling', 'stiffness', 'weakness', 'leg', 'ankle', 'bruise', 'ankle', 'leg']"
acl injury,"A pop, snap, or tear when your ACL is injured Sudden swelling or pain in your knee The knee gives way A change in the way you walk, such as with stiff legs Trouble putting weight on your leg or straightening the knee",drugs-com,"a pop, snap, or tear when your acl is injured sudden swelling or pain in your knee the knee gives way a change in the way you walk, such as with stiff legs trouble putting weight on your leg or straightening the knee",pop snap tear acl injure sudden swelling pain knee knee give way change way walk stiff leg trouble put weight leg straighten knee,"['pop', 'snap', 'tear', 'injured', 'sudden swelling', 'pain', 'knee', 'knee', 'walk', 'stiff legs trouble putting weight', 'leg', 'straightening', 'knee']"
acl injury in children,"A pop, snap, or tear when the ACL is injured Sudden swelling or pain in the knee The knee cannot support your child's weight A change in the way your child walks, such as with stiff legs Trouble putting weight on the leg or straightening the knee",drugs-com,"a pop, snap, or tear when the acl is injured sudden swelling or pain in the knee the knee cannot support your child's weight a change in the way your child walks, such as with stiff legs trouble putting weight on the leg or straightening the knee",pop snap tear acl injure sudden swelling pain knee knee support child weight change way child walk stiff leg trouble put weight leg straighten knee,"['pop', 'snap', 'tear', 'acl', 'injured', 'sudden swelling', 'pain', 'knee', 'knee', ""child's"", 'child', 'stiff legs trouble putting weight', 'leg', 'straightening', 'knee']"
